date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:48	355/355	---MCZ	200	added ('OK')	text/plain	date:Wed,%2020%20May%202020%2020:55:49%20GMT	https://androidvsios532379373.wordpress.com/robots.txt		(from )
22:55:48	32792/32792	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2020:55:49%20GMT	https://androidvsios532379373.wordpress.com/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/index.html	(from )
22:55:48	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225dad8f47-eed%22	https://s1.wp.com/wp-content/themes/pub/varia/print.css?m=1571655471h&cssminify=yes	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/s1.wp.com/wp-content/themes/pub/varia/print9298.css	(from https://androidvsios532379373.wordpress.com/)
22:55:49	90595/90595	---MCZ	200	added ('OK')	application/rss+xml	date:Wed,%2020%20May%202020%2020:36:02%20GMT	https://androidvsios532379373.wordpress.com/feed/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/feed/index.html	(from https://androidvsios532379373.wordpress.com/)
22:55:49	929/929	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2203e18a85cbfc11beed8a8af005ceefe1%22	https://androidvsios532379373.wordpress.com/comments/feed/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/comments/feed/index.html	(from https://androidvsios532379373.wordpress.com/)
22:55:49	930/930	---MCZ	200	added ('OK')	text/xml	date:Wed,%2020%20May%202020%2020:55:50%20GMT	https://androidvsios532379373.wordpress.com/xmlrpc.php?rsd	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/xmlrpc0db0.php	(from https://androidvsios532379373.wordpress.com/)
22:55:49	1544/1544	---MCZ	200	added ('OK')	application/xml	date:Wed,%2020%20May%202020%2020:55:50%20GMT	https://androidvsios532379373.wordpress.com/osd.xml	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/osd.xml	(from https://androidvsios532379373.wordpress.com/)
22:55:49	832/832	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20May%202020%2012:58:33%20GMT	https://androidvsios532379373.files.wordpress.com/2020/05/cropped-sofsofsfo-1.jpg?w=32	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.files.wordpress.com/2020/05/cropped-sofsofsfo-176ca.jpg	(from https://androidvsios532379373.wordpress.com/)
22:55:50	9645/9645	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20May%202020%2012:58:33%20GMT	https://androidvsios532379373.files.wordpress.com/2020/05/cropped-sofsofsfo-1.jpg?w=192	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.files.wordpress.com/2020/05/cropped-sofsofsfo-19939.jpg	(from https://androidvsios532379373.wordpress.com/)
22:55:50	9033/9033	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20May%202020%2012:58:33%20GMT	https://androidvsios532379373.files.wordpress.com/2020/05/cropped-sofsofsfo-1.jpg?w=180	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.files.wordpress.com/2020/05/cropped-sofsofsfo-1ad83.jpg	(from https://androidvsios532379373.wordpress.com/)
22:55:50	596476/596476	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20May%202020%2018:50:11%20GMT	https://androidvsios532379373.files.wordpress.com/2020/05/tianyi-ma-wionhd_zyi4-unsplash.jpg	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.files.wordpress.com/2020/05/tianyi-ma-wionhd_zyi4-unsplash.jpg	(from https://androidvsios532379373.wordpress.com/)
22:55:53	24042/24042	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e8609cc-5dea%22	http://0.gravatar.com/js/gprofiles.js?ver=202021y	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/0.gravatar.com/js/gprofiles1baf.js	(from https://androidvsios532379373.wordpress.com/)
22:55:53	35183/35183	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2020:55:52%20GMT	https://androidvsios532379373.wordpress.com/slicnosti-i-razlike/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/slicnosti-i-razlike/index.html	(from https://androidvsios532379373.wordpress.com/)
22:55:54	32985/32985	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2020:55:52%20GMT	https://androidvsios532379373.wordpress.com/ios/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/ios/index.html	(from https://androidvsios532379373.wordpress.com/)
22:55:55	31928/31928	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2020:55:52%20GMT	https://androidvsios532379373.wordpress.com/blog-2/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/blog-2/index.html	(from https://androidvsios532379373.wordpress.com/)
22:55:55	56328/56328	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2020:55:56%20GMT	https://androidvsios532379373.wordpress.com/2020/05/20/uporedivanje-androida-i-ios-a/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/2020/05/20/uporedivanje-androida-i-ios-a/index.html	(from https://androidvsios532379373.wordpress.com/)
22:55:57	582/582	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bffef5b-2f0%22	https://s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1380573781h	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoc3b6.js	(from https://androidvsios532379373.wordpress.com/)
22:55:57	58605/58605	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2020:55:56%20GMT	https://androidvsios532379373.wordpress.com/2020/05/20/example-post-3/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/2020/05/20/example-post-3/index.html	(from https://androidvsios532379373.wordpress.com/)
22:55:57	43310/43310	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2020:55:54%20GMT	https://androidvsios532379373.wordpress.com/sve-objave/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/sve-objave/index.html	(from https://androidvsios532379373.wordpress.com/)
22:55:58	57426/57426	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2020:55:57%20GMT	https://androidvsios532379373.wordpress.com/author/nikolijastanivukvoic/	C:/Users/nikol/OneDrive/Desktop/Projekat%20veliki/androidvsios532379373.wordpress.com/author/nikolijastanivukvoic/index.html	(from https://androidvsios532379373.wordpress.com/)
